transect_id,sample,sampling_date,season,CSI_transect,NCDOT_transect,origin,MOM_log_mean,MOM_log_sort,MOM_log_skew,MOM_log_kurt,FW_phi_mean,FW_phi_sort,FW_phi_skew,FW_phi_kurt,description,%vc_gravel,%c_gravel,%m_gravel,%f_gravel,%vf_gravel,%vc_sand,%c_sand,%m_sand,%f_sand,%vf_sand,
apr2012_T07N,S2,2012-04-17,spring,T07,NT69,NCDOT,1.28,0.76,-0.76,5.51,1.28,0.77,-0.12,1.51,Medium Sand,0.0,0.0,0.0,0.002213404,0.008819695,0.048144433,0.20661986,0.6519558680000000,0.056763492,0.025483248000000000,
apr2012_T07N,S3,2012-04-17,spring,T07,NT69,NCDOT,1.69,0.47,-0.11,5.04,1.71,0.53,0.17,0.9,Medium Sand,0.0,0.0,0.0,0.0,0.0,0.005045409,0.039354188,0.695257316,0.25682421,0.003518878,
apr2012_T07N,S4,2012-04-17,spring,T07,NT69,NCDOT,1.38,0.53,-0.41,7.14,1.37,0.54,-0.01,1.05,Medium Sand,0.0,0.0,0.0,0.001406857,0.001605191,0.011044177000000000,0.210843373,0.7008032130000000,0.062793205,0.011503984000000000,
apr2012_T09N,S1,2012-04-17,spring,T09,NT70,NCDOT,-0.5,1.07,0.76,3.05,-0.92,1.02,0.6,0.61,Very Coarse Sand,0.0,0.0,0.0,0.205645804,0.291342148,0.285140562,0.112449799,0.077309237,0.027612277,0.000500173,
apr2012_T09N,S2,2012-04-17,spring,T09,NT70,NCDOT,0.84,0.95,-0.88,3.2,0.88,0.98,-0.35,0.98,Coarse Sand,0.0,0.0,0.0,0.018867868,0.039248365,0.12725450900000000,0.283567134,0.481963928,0.048599026,0.000499171,
apr2012_T09N,S3,2012-04-17,spring,T09,NT70,NCDOT,1.57,0.44,-0.31,9.73,1.55,0.46,0.09,1.08,Medium Sand,0.0,0.0,0.0,0.00020081600000000000,0.000800185,0.005005005,0.054054054000000000,0.800800801,0.133155085,0.005984054,
apr2012_T09N,S4,2012-04-17,spring,T09,NT70,NCDOT,1.06,0.94,-0.93,3.82,1.07,0.95,-0.29,1.21,Medium Sand,0.0,0.0,0.0,0.011904237,0.027370687,0.10372608300000000,0.226586103,0.535750252,0.086134005,0.008528633,
apr2012_T11N,S1,2012-04-17,spring,T11,NT71,NCDOT,-0.54,0.82,0.43,3.37,-0.73,0.92,-0.03,0.88,Very Coarse Sand,0.0,0.0,0.0,0.113965417,0.215034583,0.456,0.174,0.037000000000000000,0.0035018270000000000,0.000498173,
apr2012_T11N,S2,2012-04-17,spring,T11,NT71,NCDOT,-0.06,0.76,0.33,3.45,-0.07,0.79,0.05,1.09,Very Coarse Sand,0.0,0.0,0.0,0.015456657,0.053612412000000000,0.469469469,0.381381381,0.07707707700000000,0.002005661,0.000997342,
apr2012_T11N,S3,2012-04-17,spring,T11,NT71,NCDOT,0.72,0.83,-0.56,2.86,0.76,0.86,-0.1,0.93,Coarse Sand,0.0,0.0,0.0,0.005619763000000000,0.018404261,0.156156156,0.41841841800000000,0.37937937900000000,0.021523351,0.000498671,
